id,carat,cut,color,clarity,depth,table,x,y,z,price
26620,0.51,Ideal,D,SI1,60.6,56.0,5.22,5.21,3.16,1662
26511,0.41,Good,E,VS2,64.1,58.0,4.67,4.63,2.97,786
14049,0.4,Premium,E,VS2,61.3,59.0,4.81,4.78,2.94,1024
27258,1.51,Very Good,E,SI2,62.8,58.0,7.29,7.33,4.57,9494
16976,1.04,Ideal,G,SI1,62.6,57.0,6.44,6.47,4.04,4892
9445,0.32,Premium,H,VVS1,62.2,58.0,4.38,4.37,2.72,936
16487,1.7,Premium,F,SI2,59.5,59.0,7.65,7.72,4.59,10866
20831,0.9,Fair,G,VS1,65.6,57.0,5.99,5.95,3.95,3589
1683,0.32,Very Good,D,SI1,63.5,55.0,4.37,4.33,2.76,589
19285,0.3,Premium,I,VS1,61.8,59.0,4.32,4.25,2.65,608
10947,0.72,Ideal,I,VVS1,61.6,55.0,5.77,5.83,3.56,2760
30575,0.54,Premium,H,SI1,62.7,59.0,5.19,5.18,3.25,1138
1494,2.05,Ideal,F,SI2,60.0,58.0,8.28,8.19,4.95,16384
24195,1.02,Good,G,VS1,63.9,58.0,6.31,6.36,4.05,6861
9354,0.31,Premium,D,VS2,61.8,59.0,4.35,4.32,2.68,942
9107,0.5,Ideal,H,VS2,61.6,58.0,5.05,5.08,3.13,1333
26738,0.76,Very Good,F,VS1,63.1,56.0,5.73,5.78,3.63,2451
859,0.7,Very Good,G,VS2,63.4,55.0,5.57,5.61,3.54,2605
23941,1.01,Very Good,E,VS1,63.3,59.0,6.34,6.38,4.02,7134
10003,0.74,Very Good,E,VS1,62.0,56.0,5.77,5.79,3.59,3398
2924,0.31,Ideal,G,VS1,61.9,53.0,4.37,4.39,2.71,625
28022,1.01,Very Good,E,SI2,62.9,58.0,6.34,6.38,4.0,4750
13538,0.9,Premium,G,SI2,61.2,60.0,6.14,6.1,3.75,3507
24181,2.04,Very Good,I,SI1,60.0,61.0,8.21,8.26,4.94,16406
